query_id,doc_id,relevance
query_1,doc_494,1
query_1,doc_39,3
query_1,doc_73,3
query_1,doc_387,3
query_2,doc_496,2
query_2,doc_434,1
query_2,doc_412,2
query_2,doc_286,1
query_3,doc_275,2
query_3,doc_64,3
query_3,doc_233,3
query_4,doc_300,3
query_4,doc_196,2
query_4,doc_422,1
query_5,doc_242,3
query_5,doc_13,3
query_6,doc_469,3
query_6,doc_313,1
query_6,doc_114,3
query_7,doc_466,2
query_7,doc_359,1
query_7,doc_155,1
query_7,doc_333,1
query_8,doc_156,2
query_9,doc_50,1
query_10,doc_70,3
query_10,doc_199,3
query_10,doc_233,3
query_10,doc_190,2
query_10,doc_344,3
query_11,doc_454,3
query_11,doc_213,1
query_12,doc_316,2
query_12,doc_209,1
query_12,doc_481,3
query_12,doc_488,2
query_13,doc_228,1
query_13,doc_487,2
query_14,doc_352,2
query_15,doc_462,2
query_15,doc_331,1
query_15,doc_184,1
query_15,doc_32,2
query_15,doc_204,1
query_16,doc_329,3
query_16,doc_328,1
query_17,doc_403,2
query_18,doc_65,3
query_18,doc_403,1
query_19,doc_425,3
query_20,doc_301,1
query_20,doc_111,2
query_21,doc_404,3
query_21,doc_462,1
query_22,doc_440,3
query_22,doc_75,2
query_22,doc_67,1
query_23,doc_339,1
query_24,doc_8,1
query_24,doc_184,3
query_25,doc_9,1
query_25,doc_90,1
query_25,doc_136,3
query_26,doc_270,2
query_26,doc_59,2
query_26,doc_382,2
query_26,doc_33,3
query_27,doc_56,3
query_27,doc_232,1
query_27,doc_258,3
query_27,doc_114,3
query_27,doc_485,3
query_28,doc_235,1
query_28,doc_330,1
query_28,doc_494,2
query_29,doc_219,3
query_29,doc_352,2
query_29,doc_56,1
query_29,doc_252,1
query_30,doc_312,1
query_30,doc_76,2
query_30,doc_34,3
query_31,doc_281,3
query_31,doc_365,2
query_31,doc_167,2
query_31,doc_196,3
query_31,doc_306,3
query_32,doc_51,3
query_32,doc_407,3
query_32,doc_360,3
query_32,doc_59,3
query_33,doc_221,1
query_33,doc_232,2
query_34,doc_424,2
query_34,doc_233,3
query_34,doc_205,1
query_35,doc_219,2
query_35,doc_161,2
query_35,doc_341,1
query_36,doc_35,1
query_36,doc_47,2
query_36,doc_426,1
query_36,doc_44,3
query_37,doc_416,1
query_37,doc_67,3
query_37,doc_285,3
query_38,doc_169,3
query_38,doc_344,2
query_38,doc_63,3
query_38,doc_211,1
query_38,doc_182,2
query_39,doc_160,1
query_39,doc_181,1
query_39,doc_54,3
query_39,doc_296,2
query_39,doc_260,1
query_40,doc_180,3
query_41,doc_59,3
query_41,doc_391,1
query_41,doc_143,2
query_42,doc_499,3
query_42,doc_393,3
query_42,doc_420,3
query_42,doc_319,1
query_42,doc_315,3
query_43,doc_15,3
query_43,doc_93,2
query_43,doc_140,2
query_44,doc_4,1
query_44,doc_93,3
query_44,doc_446,3
query_45,doc_36,1
query_45,doc_73,1
query_45,doc_380,3
query_45,doc_325,3
query_46,doc_193,2
query_46,doc_215,2
query_47,doc_190,3
query_47,doc_160,2
query_48,doc_306,1
query_48,doc_44,3
query_48,doc_453,1
query_48,doc_27,3
query_48,doc_80,1
query_49,doc_227,2
query_49,doc_339,3
query_49,doc_218,2
query_50,doc_140,1
query_50,doc_111,2
query_50,doc_387,2
query_50,doc_263,1
query_51,doc_348,3
query_51,doc_304,3
query_51,doc_250,2
query_52,doc_113,2
query_53,doc_29,1
query_53,doc_4,1
query_53,doc_105,2
query_53,doc_155,2
query_53,doc_485,2
query_54,doc_4,2
query_55,doc_90,3
query_55,doc_67,1
query_55,doc_195,3
query_55,doc_273,3
query_56,doc_37,3
query_56,doc_204,1
query_56,doc_442,2
query_57,doc_236,1
query_58,doc_295,2
query_58,doc_220,3
query_58,doc_294,3
query_59,doc_149,2
query_59,doc_59,1
query_59,doc_208,3
query_59,doc_11,2
query_60,doc_46,1
query_60,doc_224,1
query_60,doc_433,2
query_61,doc_206,2
